epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,2364.56,0.70447,0.44086,0.00692,0.94878,0.9187,0.95622,0.76717,0.88654,0.53893,0.01269,0.00181126,0.000603752,0.00181126,0.000603752,0.00181126,0.000603752,0.00181126,0.000603752
72,2392.97,0.69321,0.44497,0.0067,0.95091,0.91107,0.95958,0.77145,0.89312,0.53831,0.01288,0.00177589,0.000591963,0.00177589,0.000591963,0.00177589,0.000591963,0.00177589,0.000591963
73,2422.7,0.69188,0.40484,0.0067,0.95433,0.9274,0.95713,0.76378,0.88423,0.52424,0.01268,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
74,2452.77,0.67743,0.43083,0.0065,0.94573,0.92585,0.95901,0.76657,0.87327,0.51555,0.01251,0.00170515,0.000568385,0.00170515,0.000568385,0.00170515,0.000568385,0.00170515,0.000568385
75,2479.54,0.70119,0.44349,0.00678,0.93271,0.9268,0.95264,0.76578,0.8748,0.51886,0.01257,0.00166979,0.000556595,0.00166979,0.000556595,0.00166979,0.000556595,0.00166979,0.000556595
76,2506.53,0.68349,0.42748,0.00649,0.91707,0.93323,0.95538,0.76885,0.85707,0.49853,0.01245,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806
77,2533.31,0.68156,0.41769,0.00649,0.93113,0.91355,0.95509,0.7796,0.85946,0.52763,0.01227,0.00159905,0.000533017,0.00159905,0.000533017,0.00159905,0.000533017,0.00159905,0.000533017
78,2560.21,0.68162,0.42741,0.0066,0.96255,0.91856,0.96298,0.77618,0.8589,0.4851,0.01249,0.00156368,0.000521228,0.00156368,0.000521228,0.00156368,0.000521228,0.00156368,0.000521228
79,2587.37,0.7013,0.4297,0.00649,0.94872,0.93336,0.96169,0.77724,0.85568,0.48815,0.01245,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
80,2615.08,0.68989,0.4154,0.00644,0.94096,0.92325,0.95926,0.78024,0.85112,0.49459,0.01233,0.00149295,0.000497649,0.00149295,0.000497649,0.00149295,0.000497649,0.00149295,0.000497649
81,2644.85,0.68285,0.42629,0.00637,0.92357,0.94192,0.95815,0.78092,0.85467,0.5081,0.0124,0.00145758,0.00048586,0.00145758,0.00048586,0.00145758,0.00048586,0.00145758,0.00048586
